Date,Adj Close,Close,High,Low,Open,Volume,Stock_ID,Stock_Name
2023-05-02,277.8971252441406,298.0,303.0,295.0,302.0,9648194,2308.TW,台達電
2023-05-03,278.3634033203125,298.5,300.5,297.0,300.0,3013501,2308.TW,台達電
2023-05-04,283.49237060546875,304.0,305.5,299.0,299.5,5665304,2308.TW,台達電
2023-05-05,282.5598449707031,303.0,303.5,299.0,301.0,3949886,2308.TW,台達電
2023-05-08,284.8912048339844,305.5,306.5,302.0,304.0,4068301,2308.TW,台達電
2023-05-09,283.49237060546875,304.0,307.0,303.0,305.5,3139744,2308.TW,台達電
2023-05-10,281.1610412597656,301.5,307.0,300.0,307.0,3308589,2308.TW,台達電
2023-05-11,276.9645690917969,297.0,301.5,296.5,300.0,3465093,2308.TW,台達電
2023-05-12,277.4308776855469,297.5,298.0,293.0,296.0,4834059,2308.TW,台達電
2023-05-15,280.228515625,300.5,302.5,295.0,295.0,4156945,2308.TW,台達電
2023-05-16,280.228515625,300.5,302.0,298.0,300.5,3825260,2308.TW,台達電
2023-05-17,284.4249267578125,305.0,306.0,302.0,303.0,6317047,2308.TW,台達電
2023-05-18,285.8236999511719,306.5,309.5,306.0,307.0,7670543,2308.TW,台達電
2023-05-19,285.8236999511719,306.5,309.5,305.0,309.0,6340880,2308.TW,台達電
2023-05-22,284.8912048339844,305.5,306.5,302.0,305.5,3580478,2308.TW,台達電
2023-05-23,282.0935363769531,302.5,305.5,301.5,305.0,3704405,2308.TW,台達電
2023-05-24,284.4249267578125,305.0,305.0,301.0,302.0,3178766,2308.TW,台達電
2023-05-25,287.2225341796875,308.0,309.0,303.0,305.0,6968511,2308.TW,台達電
2023-05-26,296.5479431152344,318.0,320.0,311.0,313.0,14377215,2308.TW,台達電
2023-05-29,294.2165832519531,315.5,324.0,314.5,324.0,7364522,2308.TW,台達電
2023-05-30,292.8177795410156,314.0,315.5,312.0,314.0,4986738,2308.TW,台達電
2023-05-31,295.149169921875,316.5,320.0,312.5,320.0,10391549,2308.TW,台達電
2023-06-01,295.149169921875,316.5,317.5,312.0,316.5,4039271,2308.TW,台達電
2023-06-02,293.75030517578125,315.0,316.5,310.5,312.5,9237870,2308.TW,台達電
2023-06-05,297.9467468261719,319.5,320.0,316.0,319.0,7566450,2308.TW,台達電
2023-06-06,294.682861328125,316.0,319.5,315.5,318.5,5661114,2308.TW,台達電
2023-06-07,306.3396301269531,328.5,329.5,318.0,319.0,13081816,2308.TW,台達電
2023-06-08,303.07574462890625,325.0,331.0,323.0,331.0,9425060,2308.TW,台達電
2023-06-09,301.2106628417969,323.0,328.5,323.0,328.0,7395981,2308.TW,台達電
2023-06-12,313.33367919921875,336.0,343.0,325.5,327.0,16110012,2308.TW,台達電
2023-06-13,319.8614807128906,343.0,348.0,335.0,342.0,17939329,2308.TW,台達電
2023-06-14,329.1868591308594,353.0,356.5,346.0,347.0,18987883,2308.TW,台達電
2023-06-15,345.0400390625,370.0,373.0,358.0,362.0,22353717,2308.TW,台達電
2023-06-16,346.43890380859375,371.5,385.0,371.0,375.0,26551004,2308.TW,台達電
2023-06-19,350.1690673828125,375.5,378.0,363.5,367.0,13244021,2308.TW,台達電
2023-06-20,344.1075134277344,369.0,374.5,368.5,371.0,12521966,2308.TW,台達電
2023-06-21,339.44482421875,364.0,369.5,360.5,368.5,14971700,2308.TW,台達電
2023-06-26,324.524169921875,348.0,358.0,346.0,347.5,17890023,2308.TW,台達電
2023-06-27,321.7265625,345.0,353.5,345.0,346.0,9300932,2308.TW,台達電
2023-06-28,323.5916442871094,347.0,350.0,346.0,350.0,5470564,2308.TW,台達電
2023-06-29,325.9229736328125,349.5,355.0,348.0,350.0,7624476,2308.TW,台達電
2023-06-30,330.5672302246094,344.5,345.0,339.5,340.5,7763518,2308.TW,台達電
2023-07-03,347.8392333984375,362.5,366.0,345.0,347.0,14633528,2308.TW,台達電
2023-07-04,352.1572570800781,367.0,370.5,358.0,364.5,10611053,2308.TW,台達電
2023-07-05,351.19769287109375,366.0,369.5,363.0,364.0,7850777,2308.TW,台達電
2023-07-06,339.6830139160156,354.0,361.0,352.5,359.0,11427482,2308.TW,台達電
2023-07-07,333.9256896972656,348.0,352.0,346.5,347.0,7899739,2308.TW,台達電
2023-07-10,334.40545654296875,348.5,354.5,346.0,352.5,5278772,2308.TW,台達電
2023-07-11,344.9605712890625,359.5,361.5,352.0,353.0,7932830,2308.TW,台達電
2023-07-12,348.31903076171875,363.0,368.0,359.5,362.0,7376081,2308.TW,台達電
2023-07-13,355.51568603515625,370.5,383.5,367.0,368.0,14361457,2308.TW,台達電
2023-07-14,353.1168212890625,368.0,372.5,361.0,370.0,10016643,2308.TW,台達電
2023-07-17,353.5965881347656,368.5,370.5,364.5,367.0,5869269,2308.TW,台達電
2023-07-18,350.7178955078125,365.5,376.5,363.0,370.0,7820536,2308.TW,台達電
2023-07-19,342.5616760253906,357.0,371.0,355.5,367.0,8453497,2308.TW,台達電
2023-07-20,342.0819091796875,356.5,359.0,356.5,358.0,3197927,2308.TW,台達電
2023-07-21,344.9605712890625,359.5,362.0,346.0,350.0,7058998,2308.TW,台達電
2023-07-24,346.39990234375,361.0,362.0,353.0,357.0,6338027,2308.TW,台達電
2023-07-25,349.2785949707031,364.0,370.5,363.0,363.0,9002331,2308.TW,台達電
2023-07-26,345.9201354980469,360.5,368.0,360.5,362.5,4024071,2308.TW,台達電
2023-07-27,344.00103759765625,358.5,364.0,357.5,358.0,4099534,2308.TW,台達電
2023-07-28,351.6774597167969,366.5,368.5,352.0,355.0,7688409,2308.TW,台達電
2023-07-31,350.7178955078125,365.5,388.5,362.5,374.5,23324811,2308.TW,台達電
2023-08-01,357.434814453125,372.5,382.0,362.0,377.0,16759870,2308.TW,台達電
2023-08-02,346.39990234375,361.0,382.0,358.0,375.0,24843115,2308.TW,台達電
2023-08-04,346.8796691894531,361.5,363.5,350.0,350.0,10019147,2308.TW,台達電
2023-08-07,348.7987976074219,363.5,371.0,363.0,366.5,8897380,2308.TW,台達電
2023-08-08,345.9201354980469,360.5,365.5,357.5,365.0,4985950,2308.TW,台達電
2023-08-09,343.0414733886719,357.5,360.0,355.0,358.0,4141453,2308.TW,台達電
2023-08-10,337.28411865234375,351.5,357.0,345.0,354.0,7980504,2308.TW,台達電
2023-08-11,342.5616760253906,357.0,359.0,352.0,352.0,7236258,2308.TW,台達電
