Date,Adj Close,Close,High,Low,Open,Volume,Stock_ID,Stock_Name
2023-05-02,132.88853454589844,143.5,148.5,142.5,144.0,40196812,3037.TW,欣興
2023-05-03,136.1297149658203,147.0,148.0,141.5,143.0,32611426,3037.TW,欣興
2023-05-04,137.518798828125,148.5,148.5,144.0,146.0,29258432,3037.TW,欣興
2023-05-05,141.22300720214844,152.5,153.0,147.0,147.5,42161459,3037.TW,欣興
2023-05-08,149.09446716308594,161.0,162.0,157.0,158.0,65075144,3037.TW,欣興
2023-05-09,148.6314239501953,160.5,162.0,157.0,161.5,32410996,3037.TW,欣興
2023-05-10,146.31629943847656,158.0,159.5,155.5,159.0,21226640,3037.TW,欣興
2023-05-11,144.46420288085938,156.0,161.0,156.0,159.0,22594955,3037.TW,欣興
2023-05-12,148.1684112548828,160.0,160.5,154.0,155.5,26864384,3037.TW,欣興
2023-05-15,144.46420288085938,156.0,159.5,156.0,158.5,17681560,3037.TW,欣興
2023-05-16,149.09446716308594,161.0,162.0,158.0,158.5,26190013,3037.TW,欣興
2023-05-17,152.7986602783203,165.0,166.5,160.5,161.0,43547639,3037.TW,欣興
2023-05-18,155.11380004882812,167.5,171.5,166.5,169.5,43143991,3037.TW,欣興
2023-05-19,157.42892456054688,170.0,170.0,166.0,169.5,25814608,3037.TW,欣興
2023-05-22,149.09446716308594,161.0,168.5,160.5,168.5,40646145,3037.TW,欣興
2023-05-23,154.65077209472656,167.0,167.0,162.5,163.5,30229436,3037.TW,欣興
2023-05-24,155.11380004882812,167.5,168.5,164.0,166.0,18709284,3037.TW,欣興
2023-05-25,167.15249633789062,180.5,183.5,172.0,175.0,76799829,3037.TW,欣興
2023-05-26,171.78274536132812,185.5,193.0,182.0,190.0,55866060,3037.TW,欣興
2023-05-29,169.00457763671875,182.5,190.0,179.5,189.0,46768917,3037.TW,欣興
2023-05-30,166.689453125,180.0,182.0,178.0,181.5,26720234,3037.TW,欣興
2023-05-31,167.15249633789062,180.5,183.5,178.5,181.5,34147358,3037.TW,欣興
2023-06-01,167.61550903320312,181.0,182.5,178.0,178.5,20565571,3037.TW,欣興
2023-06-02,168.54156494140625,182.0,184.0,180.0,182.0,23907106,3037.TW,欣興
2023-06-05,167.61550903320312,181.0,184.5,179.5,182.0,20760783,3037.TW,欣興
2023-06-06,163.9113006591797,177.0,183.0,176.0,183.0,20269521,3037.TW,欣興
2023-06-07,162.98524475097656,176.0,179.0,173.5,176.0,32111227,3037.TW,欣興
2023-06-08,154.65077209472656,167.0,174.0,165.5,174.0,53583657,3037.TW,欣興
2023-06-09,158.81800842285156,171.5,172.0,164.5,164.5,27767779,3037.TW,欣興
2023-06-12,159.7440643310547,172.5,174.5,168.0,171.5,19885409,3037.TW,欣興
2023-06-13,166.689453125,180.0,181.0,174.5,174.5,36765488,3037.TW,欣興
2023-06-14,167.15249633789062,180.5,181.0,177.0,179.5,18591770,3037.TW,欣興
2023-06-15,172.7088165283203,186.5,186.5,180.5,181.5,28885793,3037.TW,欣興
2023-06-16,175.48696899414062,189.5,189.5,183.5,186.0,26489515,3037.TW,欣興
2023-06-19,171.78274536132812,185.5,190.5,185.0,189.0,16279916,3037.TW,欣興
2023-06-20,174.56089782714844,188.5,188.5,183.0,186.0,21222391,3037.TW,欣興
2023-06-21,173.1718292236328,187.0,190.0,186.5,188.5,14393809,3037.TW,欣興
2023-06-26,166.689453125,180.0,184.0,179.5,181.5,19744518,3037.TW,欣興
2023-06-27,163.9113006591797,177.0,181.0,174.0,178.5,21707734,3037.TW,欣興
2023-06-28,160.20709228515625,173.0,180.5,172.0,179.0,18092788,3037.TW,欣興
2023-06-29,161.1331329345703,174.0,176.5,172.0,174.5,15105243,3037.TW,欣興
2023-06-30,162.98524475097656,176.0,176.0,171.0,173.0,12098240,3037.TW,欣興
2023-07-03,166.22642517089844,179.5,181.0,173.5,177.5,16910614,3037.TW,欣興
2023-07-04,166.689453125,180.0,180.5,176.5,179.5,12991949,3037.TW,欣興
2023-07-05,164.8373565673828,178.0,184.5,177.0,180.0,20842856,3037.TW,欣興
2023-07-06,156.5028839111328,169.0,175.5,168.0,175.0,33842797,3037.TW,欣興
2023-07-07,157.42892456054688,170.0,172.0,166.5,168.0,21079643,3037.TW,欣興
2023-07-10,154.65077209472656,167.0,172.0,167.0,171.5,12407248,3037.TW,欣興
2023-07-11,156.5028839111328,169.0,171.0,168.5,169.0,11082184,3037.TW,欣興
2023-07-12,158.35498046875,171.0,171.5,168.5,170.5,23196781,3037.TW,欣興
2023-07-13,170.42689514160156,175.5,179.0,168.0,168.0,57459153,3037.TW,欣興
2023-07-14,181.59446716308594,187.0,188.5,181.0,185.0,57044807,3037.TW,欣興
2023-07-17,176.73899841308594,182.0,191.0,182.0,189.0,37320927,3037.TW,欣興
2023-07-18,194.2186737060547,200.0,200.0,183.0,184.0,91118367,3037.TW,欣興
2023-07-19,197.1319580078125,203.0,208.0,197.0,206.0,96619653,3037.TW,欣興
2023-07-20,190.81985473632812,196.5,205.5,195.0,203.0,48234486,3037.TW,欣興
2023-07-21,184.9932861328125,190.5,193.5,188.0,189.5,40805537,3037.TW,欣興
2023-07-24,193.73312377929688,199.5,201.5,190.5,192.0,46720343,3037.TW,欣興
2023-07-25,189.84877014160156,195.5,208.0,195.0,202.5,73612389,3037.TW,欣興
2023-07-26,191.7909393310547,197.5,204.5,195.5,200.0,60539939,3037.TW,欣興
2023-07-27,184.9932861328125,190.5,196.5,189.5,190.0,49483079,3037.TW,欣興
2023-07-28,185.4788360595703,191.0,193.0,188.0,191.5,30178662,3037.TW,欣興
2023-07-31,179.16673278808594,184.5,194.0,183.5,193.0,32234168,3037.TW,欣興
2023-08-01,180.62338256835938,186.0,189.5,184.5,186.0,17625336,3037.TW,欣興
2023-08-02,174.7967987060547,180.0,191.0,177.0,186.0,43210587,3037.TW,欣興
2023-08-04,172.36907958984375,177.5,179.5,174.0,177.0,25252681,3037.TW,欣興
2023-08-07,176.73899841308594,182.0,182.5,176.5,178.5,17344678,3037.TW,欣興
2023-08-08,173.34017944335938,178.5,183.5,177.0,183.0,17047591,3037.TW,欣興
2023-08-09,178.68118286132812,184.0,187.5,179.0,179.5,32142186,3037.TW,欣興
2023-08-10,171.88352966308594,177.0,182.5,175.0,181.5,22127869,3037.TW,欣興
2023-08-11,169.45579528808594,174.5,180.0,174.0,179.5,14396199,3037.TW,欣興
2023-08-14,165.57142639160156,170.5,173.5,167.5,173.0,16004189,3037.TW,欣興
2023-08-15,170.42689514160156,175.5,177.5,173.5,175.0,15037677,3037.TW,欣興
2023-08-16,172.85462951660156,178.0,180.5,175.0,176.0,21751783,3037.TW,欣興
2023-08-17,175.2823486328125,180.5,181.0,176.0,178.0,18083193,3037.TW,欣興
2023-08-18,169.45579528808594,174.5,180.5,173.0,179.5,13221574,3037.TW,欣興
2023-08-21,167.51361083984375,172.5,177.0,172.5,174.5,8679210,3037.TW,欣興
2023-08-22,170.91244506835938,176.0,177.0,170.0,174.0,16720319,3037.TW,欣興
2023-08-23,171.88352966308594,177.0,177.5,174.5,176.0,12202297,3037.TW,欣興
2023-08-24,183.53665161132812,189.0,191.5,180.0,183.0,49980400,3037.TW,欣興
2023-08-25,174.311279296875,179.5,185.5,179.0,185.0,30320675,3037.TW,欣興
