Date,Adj Close,Close,High,Low,Open,Volume,Stock_ID,Stock_Name
2023-05-02,156.08595275878906,165.0,169.5,165.0,169.5,1893000,3491.TWO,昇達科
2023-05-03,151.82907104492188,160.5,163.5,159.0,163.5,1507000,3491.TWO,昇達科
2023-05-04,155.13999938964844,164.0,164.5,159.5,159.5,871000,3491.TWO,昇達科
2023-05-05,155.13999938964844,164.0,167.0,163.5,163.5,819000,3491.TWO,昇達科
2023-05-08,156.55892944335938,165.5,167.0,164.0,164.0,798000,3491.TWO,昇達科
2023-05-09,154.19400024414062,163.0,166.5,160.0,166.5,864000,3491.TWO,昇達科
2023-05-10,154.19400024414062,163.0,167.0,162.0,165.0,774000,3491.TWO,昇達科
2023-05-11,149.464111328125,158.0,163.5,157.0,163.0,1228000,3491.TWO,昇達科
2023-05-12,152.77503967285156,161.5,161.5,157.5,158.0,409000,3491.TWO,昇達科
2023-05-15,153.24803161621094,162.0,162.5,160.0,161.5,411000,3491.TWO,昇達科
2023-05-16,153.7210235595703,162.5,166.5,162.5,163.0,866000,3491.TWO,昇達科
2023-05-17,156.08595275878906,165.0,165.5,163.0,164.5,636000,3491.TWO,昇達科
2023-05-18,156.55892944335938,165.5,170.0,165.0,167.0,1542000,3491.TWO,昇達科
2023-05-19,162.2347869873047,171.5,172.5,166.5,167.5,3149000,3491.TWO,昇達科
2023-05-22,162.70779418945312,172.0,176.0,172.0,172.0,2178000,3491.TWO,昇達科
2023-05-23,166.49169921875,176.0,177.5,172.5,173.5,2036000,3491.TWO,昇達科
2023-05-24,164.12673950195312,173.5,176.5,171.5,176.5,1554000,3491.TWO,昇達科
2023-05-25,162.70779418945312,172.0,176.0,172.0,173.5,1074000,3491.TWO,昇達科
2023-05-26,160.8158416748047,170.0,173.5,169.0,173.0,1650000,3491.TWO,昇達科
2023-05-29,166.9646759033203,176.5,177.0,171.0,171.5,1566000,3491.TWO,昇達科
2023-05-30,163.18077087402344,172.5,178.0,172.0,178.0,1020000,3491.TWO,昇達科
2023-05-31,164.12673950195312,173.5,175.5,173.0,173.5,492000,3491.TWO,昇達科
2023-06-01,164.12673950195312,173.5,175.0,172.0,174.5,470000,3491.TWO,昇達科
2023-06-02,163.18077087402344,172.5,175.5,172.0,175.5,703000,3491.TWO,昇達科
2023-06-05,164.5997314453125,174.0,175.0,173.0,174.5,563000,3491.TWO,昇達科
2023-06-06,159.39686584472656,168.5,173.5,168.0,172.5,1299000,3491.TWO,昇達科
2023-06-07,161.7617950439453,171.0,171.5,168.5,169.5,506000,3491.TWO,昇達科
2023-06-08,160.34283447265625,169.5,172.5,169.0,171.0,580000,3491.TWO,昇達科
2023-06-09,160.34283447265625,169.5,171.0,169.0,170.0,341000,3491.TWO,昇達科
2023-06-12,155.13999938964844,164.0,166.5,162.5,165.0,1448000,3491.TWO,昇達科
